Frame  Ab-initio (eV)      PIPNN (eV)      Error (eV)
  209       -0.592835       -0.592780        0.000055
  210       -0.592835       -0.592780        0.000055
  211       -0.592835       -0.592780        0.000055
  212       -0.592835       -0.592780        0.000055
  213       -0.592835       -0.592780        0.000055
  214       -0.592835       -0.592780        0.000055
  215       -0.592835       -0.592780        0.000055
  216       -0.592835       -0.592780        0.000055
  217       -0.592835       -0.592780        0.000055
  218       -0.592835       -0.592780        0.000055
  219       -0.592835       -0.592780        0.000055
  220       -0.592835       -0.592780        0.000055
  221       -0.592835       -0.592780        0.000055
  222       -0.592835       -0.592780        0.000055
  223       -0.592835       -0.592780        0.000055
  224       -0.592835       -0.592780        0.000055
  225       -0.592835       -0.592780        0.000055
  226       -0.592835       -0.592780        0.000055
  227       -0.592835       -0.592780        0.000055
  228       -0.592835       -0.592780        0.000055
  229       -0.592835       -0.592780        0.000055
  230       -0.592835       -0.592780        0.000055
  231       -0.592835       -0.592780        0.000055
  232       -0.592835       -0.592780        0.000055
  233       -0.592835       -0.592780        0.000055
  234       -0.592835       -0.592780        0.000055
  235       -0.592835       -0.592780        0.000055
  236       -0.592835       -0.592780        0.000055
  237       -0.592835       -0.592780        0.000055
  238       -0.592835       -0.592780        0.000055
  239       -0.592835       -0.592780        0.000055
  240       -0.592835       -0.592780        0.000055
  241       -0.592835       -0.592780        0.000055
  242       -0.592835       -0.592780        0.000055
  243       -0.592835       -0.592780        0.000055
  244       -0.592835       -0.592780        0.000055
  245       -0.592835       -0.592780        0.000055
  246       -0.592835       -0.592780        0.000055
  247       -0.592835       -0.592780        0.000055
  248       -0.592835       -0.592780        0.000055
  249       -0.592835       -0.592780        0.000055
  250       -0.592835       -0.592780        0.000055
  251       -0.592835       -0.592780        0.000055
  252       -0.592835       -0.592780        0.000055
  253       -0.592835       -0.592780        0.000055
  254       -0.592835       -0.592780        0.000055
  255       -0.592835       -0.592780        0.000055
  256       -0.592835       -0.592780        0.000055
  257       -0.592835       -0.592780        0.000055
  258       -0.592835       -0.592780        0.000055
  259       -0.592835       -0.592780        0.000055
  260       -0.592835       -0.592780        0.000055
  261       -0.592835       -0.592780        0.000055
  262       -0.592835       -0.592780        0.000055
  263       -0.592835       -0.592780        0.000055
  264       -0.592835       -0.592780        0.000055
  265       -0.592835       -0.592780        0.000055
  266       -0.592835       -0.592780        0.000055
  267       -0.592835       -0.592780        0.000055
  268       -0.592835       -0.592780        0.000055
  269       -0.592835       -0.592780        0.000055
  270       -0.592835       -0.592780        0.000055
  271       -0.592835       -0.592780        0.000055
  272       -0.592835       -0.592780        0.000055
  273       -0.592835       -0.592780        0.000055
  274       -0.592835       -0.592780        0.000055
  275       -0.592835       -0.592780        0.000055
  276       -0.592835       -0.592780        0.000055
  277       -0.592835       -0.592780        0.000055
  278       -0.592835       -0.592780        0.000055
  279       -0.592835       -0.592780        0.000055
  280       -0.592835       -0.592780        0.000055
  281       -0.592835       -0.592780        0.000055
  282       -0.592835       -0.592780        0.000055
  283       -0.592835       -0.592780        0.000055
